x,y,z,,,,,,,,,,cnt dist,cnt dist allocation,date and time,,date,time,long,lat
13.11675773,23.12019926,0.025,,,,,,,,,,26.5818161,,,,,,,
18.37664908,19.30445074,0.025,,,,,,,,,,26.65263683,,,,,,,
0.545732195,6.036630727,0.025,,,,,,,,,,6.061248565,,,,,,,
24.80305713,5.366978768,0.025,,,,,,,,,,25.37707832,,,,,,,
23.75440298,13.9163297,0.025,,,,,,,,,,27.53063554,,,,,,,
9.750192854,12.14976668,0.025,,,,,,,,,,15.57828909,,,,,,,
23.15453567,22.96833589,0.025,,,,,,,,,,32.61406101,,,,,,,
4.348891667,3.158237986,0.025,,,,,,,,,,5.374693099,,,,,,,
0.538120132,23.69925528,0.025,,,,,,,,,,23.70536383,,,,,,,
4.404906389,8.301589359,0.025,,,,,,,,,,9.397850083,,,,,,,
8.618416317,23.50268706,0.025,,,,,,,,,,25.03304613,,,,,,,
21.11836113,22.63480797,0.025,,,,,,,,,,30.95673931,,,,,,,
19.96508978,7.142971293,0.025,,,,,,,,,,21.20440635,,,,,,,
0.651375918,14.72059911,0.025,,,,,,,,,,14.73500352,,,,,,,
24.73695597,15.12536591,0.025,,,,,,,,,,28.99471822,,,,,,,
7.881120077,22.32221771,0.025,,,,,,,,,,23.67263098,,,,,,,
19.69823085,15.30077943,0.025,,,,,,,,,,24.94261713,,,,,,,
16.97672091,22.96504445,0.025,,,,,,,,,,28.55875207,,,,,,,
9.414507869,24.34458846,0.025,,,,,,,,,,26.10156979,,,,,,,
14.36778762,15.70190496,0.025,,,,,,,,,,21.28340058,,,,,,,
18.75054409,21.45784591,0.025,,,,,,,,,,28.49600068,,,,,,,
21.61198575,8.067024921,0.025,,,,,,,,,,23.06848108,,,,,,,
9.552568801,10.27028375,0.025,,,,,,,,,,14.02605786,,,,,,,
15.5479842,10.75618177,0.025,,,,,,,,,,18.90595829,,,,,,,
4.964247211,10.66752523,0.025,,,,,,,,,,11.76604628,,,,,,,
21.99995721,22.5960489,0.025,,,,,,,,,,31.5369552,,,,,,,
6.309167538,21.37244857,0.025,,,,,,,,,,22.28423552,,,,,,,
14.31221293,18.32856313,0.025,,,,,,,,,,23.25458375,,,,,,,
14.22144977,11.64274696,0.025,,,,,,,,,,18.37942302,,,,,,,
9.448104483,1.990651942,0.025,,,,,,,,,,9.655535898,,,,,,,
20.29646744,21.87404112,0.025,,,,,,,,,,29.83991062,,,,,,,
4.02428592,11.67200057,0.025,,,,,,,,,,12.34627371,,,,,,,
14.81279672,7.806745943,0.025,,,,,,,,,,16.74408041,,,,,,,
6.427957345,2.772282519,0.025,,,,,,,,,,7.000298993,,,,,,,
18.2146417,5.20486096,0.025,,,,,,,,,,18.94369948,,,,,,,
10.39621796,15.41712668,0.025,,,,,,,,,,18.59486872,,,,,,,
12.89642542,11.92852468,0.025,,,,,,,,,,17.56722772,,,,,,,
13.60025297,16.35343367,0.025,,,,,,,,,,21.2697361,,,,,,,
5.551228495,12.98379561,0.025,,,,,,,,,,14.1207325,,,,,,,
8.109061493,21.82305941,0.025,,,,,,,,,,23.2809536,,,,,,,
21.66520685,23.74514978,0.025,,,,,,,,,,32.14363586,,,,,,,
2.468585046,16.28260831,0.025,,,,,,,,,,16.46867467,,,,,,,
19.9822216,0.92810304,0.025,,,,,,,,,,20.00376353,,,,,,,
20.10904288,24.93617746,0.025,,,,,,,,,,32.03414665,,,,,,,
6.492459832,6.426732471,0.025,,,,,,,,,,9.13536671,,,,,,,
